brand,model,announced,display_resolution,OS,internal_memory,RAM,battery,approx_price_EUR
Acer,CloudMobile S500,2012  February,4.3 inches (~61.0% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1460 mAh battery,220.0
Nokia,Lumia 525,2013  November,4.0 inches (~59.3% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1430 mAh battery (BL-5J),120.0
Acer,Liquid Z220,2015  March,4.0 inches (~56.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1300 mAh battery,90.0
Asus,Memo Pad HD7 8 GB,2013  June,7.0 inches (~59.9% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po battery (15 Wh),100.0
Toshiba,Excite Go,2014  May,7.0 inches (~57.8% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po battery (13 Wh),80.0
Toshiba,Excite 7c AT7-B8,2014  February,7.0 inches (~57.8% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po battery (13 Wh),70.0
Allview,3 Speed Quad HD,2013  November,9.7 inches (~67.5% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 8000 mAh battery,160.0
Prestigio,Multipad 4 Quantum 10.1,2013,10.1 inches (~66.9% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 7000 mAh battery,220.0
Huawei,MediaPad T1 10,2015  March,9.6 inches (~71.7% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4800 mAh battery,180.0
Huawei,MediaPad M1,2014  February,8.0 inches (~71.7% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4800 mAh battery,300.0
Prestigio,MultiPad 8.0 Pro Duo,2013,8.0 inches (~63.8% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4700 mAh battery,200.0
Prestigio,Multipad 4 Quantum 7.85,2013,7.85 inches (~67.5% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4700 mAh battery,140.0
Allview,2 Speed Quad,2013  September,8.0 inches (~65.0% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4400 mAh battery,120.0
Huawei,MediaPad 7 Vogue,2013  June,7.0 inches (~58.7% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4100 mAh battery,180.0
Huawei,MediaPad 7 Youth,2013  July,7.0 inches (~59.1% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4100 mAh battery,150.0
Huawei,MediaPad 7 Lite,2012  July,7.0 inches (~59.5% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4100 mAh battery,150.0
Huawei,MediaPad,2011  Q3,7.0 inches (~60.3% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4100 mAh battery,150.0
Huawei,MediaPad S7-301w,2011  Q3,7.0 inches (~60.3% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4100 mAh battery,160.0
Asus,Zenpad 8.0 Z380KL,2015  June,8.0 inches (~72.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4000 mAh battery (15.2 Wh),280.0
Lenovo,A5000,2015  February,5.0 inches (~68.9% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4000 mAh battery,150.0
Allview,Viva Q8,2013  July,7.9 inches (~69.5% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4000 mAh battery,150.0
HP,Slate7 Plus,2013  December,7.0 inches (~59.5% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4000 mAh battery,110.0
Allview,Viva H8,2013  August,7.9 inches (~71.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4000 mAh battery,190.0
Prestigio,MultiPad 7.0 Ultra Duo,2013,7.0 inches (~65.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 4000 mAh battery,130.0
Acer,Iconia Tab A110,2012  October,7.0 inches (~56.5% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 3420 mAh battery (12.7 Wh),150.0
BLU,Studio 7.0,2014  November,7.0 inches (~71.4% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 3000 mAh battery,130.0
Allview,Viva Q7 Life,2013  November,7.0 inches (~58.7% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 3000 mAh battery,90.0
HP,7 Plus,2014  May,7.0 inches (~58.8% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2800 mAh battery,70.0
Huawei,Ascend D quad XL,2012  February,4.5 inches (~67.6% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2600 mAh battery,260.0
Asus,Zenfone 2E,2015  July,5.0 inches (~65.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2500 mAh battery,110.0
XOLO,8X-1020,2015  February,5.0 inches (~67.6% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2500 mAh battery,120.0
Lava,Iris X8,2015  February,5.0 inches (~67.7% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2500 mAh battery,130.0
Acer,Liquid Jade Z,2015  March,5.0 inches (~68.8% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2300 mAh battery,200.0
HTC,Desire 612,2014  October,4.7 inches (~60.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2040 mAh battery,240.0
HTC,Desire 610,2014  February,4.7 inches (~60.4% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2040 mAh battery,200.0
Coolpad,Porto S,2016  January,5.0 inches (~66.9% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2000 mAh battery,130.0
YU,Yunique,2015  September,4.7 inches (~67.1% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2000 mAh battery,70.0
Oppo,Neo 5s,2015  May,4.5 inches (~64.6% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2000 mAh battery,160.0
HTC,Desire 626G+,2015  April,5.0 inches (~66.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2000 mAh battery,250.0
Huawei,Ascend G620s,2014  September,5.0 inches (~67.0% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2000 mAh battery,180.0
ZTE,Speed,2014  December,4.5 inches (~62.8% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2000 mAh battery,80.0
Huawei,Ascend P7 mini,2014  April,4.5 inches (~65.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 2000 mAh battery,180.0
Panasonic,Eluga S mini,2015  June,4.7 inches (~64.7% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 1980 mAh battery,130.0
Allview,Twin X2,2014  August,5.0 inches (~70.1% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 1920 mAh battery,230.0
Asus,PadFone mini (Intel),2014  January,4.0 inches (~59.6% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Po 1170 mAh battery,210.0
Amazon,Fire 7,2015  September,7.0 inches (~62.8% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion battery,50.0
Vodafone,Smart prime 6,2015  May,5.0 inches (~67.6% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion battery,110.0
alcatel,One Touch Tab 8 HD,2013  January,8.0 inches (~63.7% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion battery,140.0
Micromax,Funbook Pro,2012  August,10.1 inches,Android,8.0,1.0,Non-removable Li-Ion 5600 mAh battery,170.0
Gionee,Marathon M3,2014  November,5.0 inches (~66.7% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion 5000 mAh battery,170.0
Acer,Iconia Tab A1-811,2013  Q2,7.9 inches (~63.6% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion 4960 mAh battery (18.6 Wh),150.0
Sonim,XP6,2014  November,2.63 inches (~24.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion 4800 mAh battery,490.0
alcatel,POP 10,2015  January,9.6 inches (~74.4% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion 4600 mAh battery,250.0
BLU,Life View Tab,2014  January,8.0 inches (~70.0% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion 4500 mAh battery,360.0
Micromax,Canvas Tab P666,2015  January,8.0 inches (~69.6% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion 4400 mAh battery,150.0
Huawei,MediaPad T1 7.0,2015  March,7.0 inches (~67.2% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion 4100 mAh battery,100.0
alcatel,POP 8S,2014  September,8.0 inches (~69.4% screen-to-body ratio),Android,8.0,1.0,Non-removable Li-Ion 4100 mAh battery,250.0
