brand,model,announced,display_resolution,OS,internal_memory,RAM,battery,approx_price_EUR
QMobile,Noir Z5,2014  July,5.5 inches (~73.8% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2500 mAh battery,310
Huawei,Ascend P7 Sapphire Edition,2014  August,5.0 inches (~71.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2500 mAh battery,
Gionee,Elife E7,2013,5.5 inches (~73.8% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2500 mAh battery,340
BLU,Studio One,2016  February,5.0 inches (~68.6% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2450 mAh battery,
vivo,X5Pro,2015  May,5.2 inches (~68.6% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2450 mAh battery,
Oppo,Mirror 5s,2015  July,5.0 inches (~67.5% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2420 mAh battery,
Oppo,Mirror 5,2015  July,5.0 inches (~67.5% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2420 mAh battery,220
Oppo,R1x,2015  January,5.0 inches (~69.9% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2420 mAh battery,340
Oppo,A33,2015  November,5.0 inches (~67.4% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2400 mAh battery,240
Wiko,Ridge 4G,2015  February,5.0 inches (~66.9% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2400 mAh battery,
HTC,Desire Eye,2014  October,5.2 inches (~66.6% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2400 mAh battery,380
ZTE,Star 2,2014  December,5.0 inches (~71.0% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2400 mAh battery,330
Allview,X2 Soul Style,2015  November,5.0 inches (~68.0% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2350 mAh battery,180
Oppo,R7 lite,2015  September,5.0 inches (~67.9% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2320 mAh battery,250
LG,X screen,2016  February,4.93 inches (~65.4% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,180
vivo,V1,2015  July,5.0 inches (~67.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,
vivo,Y35,2015  July,5.0 inches (~67.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,
BLU,Vivo IV,2014  May,5.0 inches (~67.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,260
Asus,PadFone X,2014  March,5.0 inches (~66.3% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,320
Asus,PadFone S,2014  March,5.0 inches (~66.3% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,250
vivo,X5Max,2014  December,5.5 inches (~69.5% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,470
ZTE,Star 1,2014  April,5.0 inches (~71.9% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,200
LG,Nexus 5,2013  October,4.95 inches (~70.8% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2300 mAh battery,260
Allview,X1 Xtreme Mini,2014  November,4.7 inches (~67.3% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2200 mAh battery,300
alcatel,X1,2015  December,5.0 inches (~68.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2150 mAh battery,250
LG,Optimus G E970,2012  September,4.7 inches (~67.1% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2100 mAh battery,250
BLU,Vivo Air LTE,2015  September,4.8 inches (~65.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2050 mAh battery,
HTC,Butterfly,2012  December,5.0 inches (~68.4% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2020 mAh battery,330
Wiko,Highway Pure 4G,2015  March,4.8 inches (~65.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2000 mAh battery,
Micromax,Canvas Sliver 5 Q450,2015  June,4.8 inches,Android,16,2,Non-removable Li-Po 2000 mAh battery,250
QMobile,Noir Z9,2015  July,4.8 inches (~66.2% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2000 mAh battery,230
Oppo,R5,2014  October,5.2 inches (~67.5% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2000 mAh battery,400
Huawei,Ascend P6 S,2014  January,4.7 inches (~70.1% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2000 mAh battery,300
Nvidia,Shield,2014  July,8.0 inches (~66.6% screen-to-body ratio),Android,16,2,Non-removable Li-Ion battery (19.75 Wh),230
LG,G Pad X 8.0,2016  June,8.0 inches (~72.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion battery,220
Acer,Liquid E3 Duo Plus,2014  Q3,4.7 inches (~64.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion battery,240
Amazon,Kindle Fire HDX,2013  September,7.0 inches (~59.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion battery,170
Lenovo,Yoga Tablet 2 10.1,2014  October,10.1 inches (~63.4% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 9600 mAh battery,300
LG,G Pad II 10.1,2015  August,10.1 inches (~72.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 7400 mAh battery,250
Samsung,Galaxy Tab A 10.1 (2016),2016  May,10.1 inches (~74.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 7300 mAh battery,220
Lenovo,Tab 4 10,2017  February,10.1 inches (~70.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 7000 mAh battery,140
Lenovo,Tab 2 A10-70,2015  March,10.1 inches (~73.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 7000 mAh battery,180
Asus,Memo Pad FHD10,2013  June,10.0 inches (~60.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 6760 mAh battery (25 Wh),
Huawei,MediaPad T2 10.0 Pro,2016  August,10.0 inches (~71.6% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 6660 mAh battery,240
Lenovo,Yoga Tablet 2 8.0 ,2014  October,8.0 inches (~59.3% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 6400 mAh battery,230
Samsung,Galaxy Tab A & S Pen,2015  July,9.7 inches (~72.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 6000 mAh battery,340
Nvidia,Shield K1,2015  November,8.0 inches (~66.6% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 5200 mAh battery (19.75 Wh),200
Motorola,Moto E4 Plus (USA),2017  June,5.5 inches (~69.4% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 5000 mAh battery,180
Archos,50 Saphir,2017  February,5.0 inches (~61.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 5000 mAh battery,
Acer,Liquid Zest Plus,2016  April,5.5 inches (~70.3% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 5000 mAh battery,200
Gionee,Marathon M4,2015  August,5.0 inches (~66.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 5000 mAh battery,220
Lenovo,Tab 4 8,2017  February,8.0 inches (~70.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4850 mAh battery,100
Huawei,MediaPad T3 10,2017  May,9.6 inches| 9.6 (~72.8% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4800 mAh battery,
Huawei,MediaPad T3 8.0,2017  April,8.0 inches (~70.5% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4800 mAh battery,220
Asus,Zenpad Z8,2016  June,7.9 inches (~69.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4680 mAh battery,
Lenovo,Tab S8,2014  September,8.0 inches (~71.4% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4290 mAh battery,150
Dell,Venue 7,2013  October,7.0 inches (~62.4% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4100 mAh battery (15.5 Wh),100
Dell,Venue 8,2013  October,8.0 inches (~67.3% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4100 mAh battery (15.5 Wh),130
LG,X power,2016  May,5.3 inches (~69.4% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4100 mAh battery,240
Xiaomi,Redmi 3s,2016  June,5.0 inches (~71.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4100 mAh battery,120
Asus,Zenfone Pegasus 3,2016  June,5.2 inches (~67.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4100 mAh battery,210
Xiaomi,Redmi 3,2016  January,5.0 inches (~71.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4100 mAh battery,160
Huawei,MediaPad T1 7.0 Plus,2016  April,7.0 inches (~67.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4100 mAh battery,100
Huawei,Ascend Mate2 4G,2014  January,6.1 inches (~75.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4050 mAh battery,330
Huawei,Y7,2017  May,5.5 inches (~71.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 4000 mAh battery,250
Micromax,Canvas Juice 3+ Q394,2015  October,5.5 inches,Android,16,2,Non-removable Li-Ion 4000 mAh battery,
Panasonic,Eluga Icon,2015  August,5.5 inches (~71.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3500 mAh battery,160
Acer,Liquid E700,2014  June,5.0 inches (~64.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3500 mAh battery,200
Nokia,Lumia 1520,2013  October,6.0 inches (~71.4% screen-to-body ratio),Windows Phone,16,2,Non-removable Li-Ion 3400 mAh battery (BV-4BW),350
Acer,Iconia Talk S,2016  August,7.0 inches (~69.8% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3400 mAh battery (12.92 Wh),170
Meizu,E2,2017  April,5.5 inches (~71.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3400 mAh battery,210
ZTE,Grand X Max 2,2016  May,6.0 inches (~72.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3400 mAh battery,210
ZTE,Boost Max+,2015  July,5.7 inches (~65.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3400 mAh battery,180
ZTE,Zmax,2014  September,5.7 inches (~65.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3400 mAh battery,200
Meizu,U20,2016  August,5.5 inches (~72.3% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3260 mAh battery,190
ZTE,Grand X Max+,2015  January,6.0 inches (~73.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3200 mAh battery,
ZTE,Grand Memo II LTE,2014  February,6.0 inches (~74.0% screen-to-body ratio),Android,16,2,Non-removable Li-ion 3200 mAh battery,
ZTE,Grand Memo V9815,2013  February,5.7 inches (~67.8% screen-to-body ratio),Android,16,2,Non-removable Li-ion 3200 mAh battery,340
ZTE,Grand X4,2016  September,5.5 inches (~69.8% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3140 mAh battery,
Meizu,M1 Metal,2015  October,5.5 inches (~72.8% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3140 mAh battery,170
Xiaomi,Redmi 4a,2016  November,5.0 inches (~69.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3120 mAh battery,110
Xiaomi,Mi 4i,2015  April,5.0 inches (~71.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3120 mAh battery,260
Huawei,Honor Holly 3,2016  October,5.5 inches (~70.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3100 mAh battery,140
alcatel,Hero 2,2014  September,6.0 inches (~75.8% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3100 mAh battery,460
Kyocera,DuraForce,2014  November,4.5 inches (~57.8% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3100 mAh battery,320
Kyocera,Brigadier,2014  July,4.5 inches (~59.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3100 mAh battery,300
ZTE,Grand S II S291,2014  January,5.5 inches (~69.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3100 mAh battery,250
Xiaomi,Mi 4c,2015  September,5.0 inches (~71.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3080 mAh battery,210
Oppo,A53,2015  November,5.5 inches (~70.8% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3075 mAh battery,
Sony,Xperia Z Ultra,2013  June,6.4 inches (~68.3% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3050 mAh battery,280
Asus,Zenfone Go ZB552KL,2017  May,5.5 inches (~71.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,
Samsung,Galaxy J5 (2017),2017  June,5.2 inches (~71.5% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,280
alcatel,A3 XL,2017  January,6.0 inches (~72.9% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,120
ZTE,nubia N1 lite,2017  February,5.5 inches,Android,16,2,Non-removable Li-Ion 3000 mAh battery,160
Archos,55 Graphite,2017  February,5.5 inches (~68.5% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,180
Nokia,5,2017  February,5.2 inches (~68.7% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,200
Huawei,Y6II Compact,2016  September,5.5 inches (~70.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,
Lenovo,K6,2016  September,5.0 inches (~69.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,200
Motorola,Moto G4,2016  May,5.5 inches (~71.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,190
alcatel,Flash Plus 2,2016  May,5.5 inches (~71.5% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,140
Motorola,Moto G4 Plus,2016  May,5.5 inches (~71.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,230
ZTE,Blade V Plus,2016  January,5.5 inches (~69.6% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,270
alcatel,Flash 2,2015  September,5.0 inches (~67.1% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,230
Huawei,Honor 5X,2015  October,5.5 inches (~72.2% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,300
ZTE,Blade X9,2015  November,5.5 inches (~69.6% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,170
Oppo,U3,2015  January,5.9 inches (~74.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,
ZTE,Blade S6 Plus,2015  April,5.5 inches (~69.0% screen-to-body ratio),Android,16,2,Non-removable Li-Ion 3000 mAh battery,280
